Annual Tuition Fee*,Course Duration,Course Credits,Delivery Medium,Course Link,Tuition Link,Application Fee,Application Link
"$17,044",24 Months,30,On Campus,https://engineering.tamu.edu/electrical/academics/degrees/graduate/meng-elen.html,https://tuition.tamu.edu/?_ga=2.232592799.1896029571.1582095322-1255318731.1579249145,$90,http://engineeringcas.liaisoncas.org/apply/
"$17,044",24 Months,30,On Campus,https://engineering.tamu.edu/civil/academics/degrees/graduate/master-of-engineering.html,https://tuition.tamu.edu/?_ga=2.232592799.1896029571.1582095322-1255318731.1579249144,$90,http://engineeringcas.liaisoncas.org/apply/
"$16,526",24 Months,30,On Campus,https://nfs.tamu.edu/academics/graduate-programs/ms-food-science/,https://tuition.tamu.edu/?_ga=2.232592799.1896029571.1582095322-1255318731.1579249144,$90,https://www.applytexas.org/adappc/gen/c_start.WBX
"$53,126",11 Months,36,On Campus,https://mays.tamu.edu/ms-marketing/,https://tuition.tamu.edu/?_gl=1*kceky3*_ga*MTc0NDgyNzcyLjE2MjQ2MjcxNzc.*_ga_SJ5GMN0ZQL*MTYyNzE4OTg1NS41LjAuMTYyNzE4OTg1NS42MA..*_ga_PBV6K94CC1*MTYyNzE4OTg1NS41LjAuMTYyNzE4OTg1NS42MA..&_ga=2.94697887.2076416492.1627189856-174482772.1624627177,$90,https://businesscas2021.liaisoncas.com/applicant-ux/#/login
"$34,493",18 Months,37,On Campus,https://mays.tamu.edu/ms-human-resource-management/,https://tuition.tamu.edu/,$90,https://businesscas2021.liaisoncas.com/applicant-ux/#/login
"$18,326",24 Months,30,On Campus,https://engineering.tamu.edu/biomedical/academics/degrees/graduate/meng.html,https://tuition.tamu.edu/?_ga=2.232592799.1896029571.1582095322-1255318731.1579249144,$90,https://engineeringcas2021.liaisoncas.com/applicant-ux/#/login
"$17,044",24 Months,30,On Campus,https://engineering.tamu.edu/academics/degrees/interdisciplinary/graduate/systems-engineering/index.html,https://tuition.tamu.edu/?_ga=2.232592799.1896029571.1582095322-1255318731.1579249144,$90,http://engineeringcas.liaisoncas.org/apply/
"$24,655",21 Months,45,On Campus,https://mays.tamu.edu/executive-mba/,https://tuition.tamu.edu/,,
"$8,720",22 Months,45,On Campus,https://mays.tamu.edu/professional-mba/,,$90,https://businesscas2021.liaisoncas.com/applicant-ux/#/login
"$7,979",24 Months,36,On Campus,,,NA,
"$23,368",18 Months,36,On Campus,https://laup.arch.tamu.edu/academics/graduate/mlpd/,https://tuition.tamu.edu/,,
"£25,000",12 Months,120,On Campus,https://www.bath.ac.uk/courses/postgraduate-2021/taught-postgraduate-courses/msc-data-science/,https://www.bath.ac.uk/courses/postgraduate-2021/taught-postgraduate-courses/msc-data-science/#fees-funding,£60,https://samis.bath.ac.uk/urd/sits.urd/run/siw_ipp_lgn.login?process=siw_ipp_app&code1=TDUCM-DS01&code2=0005
"£22,000",12 Months,60,On Campus,https://www.bath.ac.uk/courses/postgraduate-2021/taught-postgraduate-courses/msc-business-analytics/,https://www.bath.ac.uk/corporate-information/school-of-management-taught-postgraduate-tuition-fees-2021-22/,£60,https://samis.bath.ac.uk/urd/sits.urd/run/siw_ipp_lgn.login?process=siw_ipp_app&code1=TDUMN-BA01&code2=0006
"£26,700",12 Months,102,On Campus,https://www.bath.ac.uk/courses/postgraduate-2021/taught-postgraduate-courses/msc-automotive-engineering-with-electric-propulsion/,https://www.bath.ac.uk/corporate-information/faculty-of-engineering-design-taught-postgraduate-tuition-fees-2022-23/,£60,https://samis.bath.ac.uk/urd/sits.urd/run/siw_ipp_lgn.login?process=siw_ipp_app&code1=TDUME-AV08&code2=0002
"£23,000",12 Months,120,On Campus,https://www.bath.ac.uk/courses/postgraduate-2021/taught-postgraduate-courses/msc-computer-science/,https://www.bath.ac.uk/corporate-information/faculty-of-science-taught-postgraduate-tuition-fees-2021-22/,£60,https://auth.bath.ac.uk/login?service=https%3A%2F%2Fwww.bath.ac.uk%2Faccount%2Fapplicant
"£25,000",12 Months,180,On Campus,https://www.bath.ac.uk/courses/postgraduate-2021/taught-postgraduate-courses/msc-data-science-and-statistics/,https://www.bath.ac.uk/courses/postgraduate-2021/taught-postgraduate-courses/msc-data-science-and-statistics/#fees-funding,£60,https://samis.bath.ac.uk/urd/sits.urd/run/siw_ipp_lgn.login?process=siw_ipp_app&code1=TDUCM-DS07&code2=0004
"£22,000",12 Months,180,On Campus,https://www.bath.ac.uk/courses/postgraduate-2021/taught-postgraduate-courses/msc-engineering-business-management/,https://www.bath.ac.uk/courses/postgraduate-2021/taught-postgraduate-courses/msc-engineering-business-management/#fees-funding,£60,https://samis.bath.ac.uk/urd/sits.urd/run/siw_ipp_lgn.login?process=siw_ipp_app&code1=TDUME-EM01&code2=0004
"£26,000",12 Months,180,On Campus,https://www.bath.ac.uk/courses/postgraduate-2021/taught-postgraduate-courses/msc-finance/,https://www.bath.ac.uk/corporate-information/school-of-management-taught-postgraduate-tuition-fees-2021-22/,£60,https://samis.bath.ac.uk/urd/sits.urd/run/siw_ipp_lgn.login?process=siw_ipp_app&code1=TDUMN-FN01&code2=0011
"£23,100",12 Months,84,On Campus,https://www.bath.ac.uk/courses/postgraduate-2021/taught-postgraduate-courses/msc-robotics-and-autonomous-systems/#course-structure,https://www.bath.ac.uk/corporate-information/faculty-of-engineering-design-taught-postgraduate-tuition-fees-2020-21/,NA,https://samis.bath.ac.uk/urd/sits.urd/run/siw_ipp_lgn.login?process=siw_ipp_app&code1=TDUEE-RB01&code2=0004
"£22,000",12 Months,NA,On Campus,https://www.bath.ac.uk/courses/postgraduate-2021/taught-postgraduate-courses/msc-international-management/,https://www.bath.ac.uk/courses/postgraduate-2021/taught-postgraduate-courses/msc-international-management/#fees-funding,£60,https://samis.bath.ac.uk/urd/sits.urd/run/siw_ipp_lgn.login?process=siw_ipp_app&code1=TDUMN-IN01&code2=0013
"£25,000",12 Months,180,On Campus,https://www.bath.ac.uk/courses/postgraduate-2021/taught-postgraduate-courses/msc-environmental-engineering/,https://www.bath.ac.uk/courses/postgraduate-2021/taught-postgraduate-courses/msc-environmental-engineering/#fees-funding,£60,https://samis.bath.ac.uk/urd/sits.urd/run/siw_ipp_lgn.login?process=siw_ipp_app&code1=TDUCE-EV01&code2=0003
"£22,000",12 Months,180,On Campus,https://management-masters.bath.ac.uk/course/operations-logistics-and-supply-chain-management/,https://management-masters.bath.ac.uk/course/operations-logistics-and-supply-chain-management/,£60,https://samis.bath.ac.uk/urd/sits.urd/run/siw_ipp_lgn.login?process=siw_ipp_app&code1=TDUMN-OL01&code2=0006
"£11,950",24 Months,NA,On Campus,https://www.bath.ac.uk/courses/postgraduate-2021/taught-postgraduate-courses/msc-human-computer-interaction-including-placement-year/#course-structure,https://www.bath.ac.uk/corporate-information/faculty-of-science-taught-postgraduate-tuition-fees-2020-21/,NA,https://www.bath.ac.uk/study/pg/applications.pl
"£22,000",12 Months,180,On Campus,https://www.bath.ac.uk/courses/postgraduate-2021/taught-postgraduate-courses/msc-marketing/,https://www.bath.ac.uk/courses/postgraduate-2021/taught-postgraduate-courses/msc-marketing/#fees-funding,£60,https://samis.bath.ac.uk/urd/sits.urd/run/siw_ipp_lgn.login?process=siw_ipp_app&code1=TDUMN-MK01&code2=0012
"£25,000",12 Months,120,On Campus,https://www.bath.ac.uk/courses/postgraduate-2021/taught-postgraduate-courses/msc-drug-discovery/,https://www.bath.ac.uk/corporate-information/faculty-of-science-taught-postgraduate-tuition-fees-2021-22/,£60,https://samis.bath.ac.uk/urd/sits.urd/run/siw_ipp_lgn.login?process=siw_ipp_app&code1=TDUPA-DD01&code2=0004
"£22,000",12 Months,60,On Campus,https://www.bath.ac.uk/courses/postgraduate-2021/taught-postgraduate-courses/msc-management/,https://www.bath.ac.uk/corporate-information/school-of-management-taught-postgraduate-tuition-fees-2021-22/,£60,https://samis.bath.ac.uk/urd/sits.urd/run/siw_ipp_lgn.login?process=siw_ipp_app&code1=TDUMN-MM03&code2=0015
